gene_name	gene_id	cgnc	mirbase
gene-LOC107051627	107051627	74635	NA
gene-LOC107051629	107051629	74637	NA
gene-LOC101752215	101752215	71623	NA
gene-PUS7	417709	6164	NA
gene-RINT1	427848	6158	NA
gene-EFCAB10	769240	55097	NA
gene-LOC112533020	112533020	NA	NA
gene-ATXN7L1	427847	6150	NA
gene-CDHR3	427846	53209	NA
gene-SYPL1	417708	66293	NA
gene-LOC107051630	107051630	74638	NA
gene-NAMPT	417707	50574	NA
gene-LOC107051631	107051631	74639	NA
gene-CCDC71L	101750427	69877	NA
gene-PIK3CG	417706	6119	NA
gene-PRKAR2B	769420	6102	NA
gene-HBP1	417705	6093	NA
gene-COG5	417704	6079	NA
gene-GPR22	769379	6077	NA
gene-DUS4L	769352	16592	NA
gene-LOC112533028	112533028	NA	NA
gene-MIR2126	100316004	60863	MI0010731
gene-BCAP29	417702	6061	NA
gene-SLC26A4	427845	6053	NA
gene-CBLL1	417701	66292	NA
gene-SLC26A3	417700	6021	NA
gene-DLD	417699	5998	NA
gene-LAMB1	396478	49827	NA
gene-LOC112533030	112533030	NA	NA
gene-LAMB4	396076	5987	NA
gene-ERGIC2	417697	5428	NA
gene-LRRK2	427844	53208	NA
gene-SLC2A13	769652	16555	NA
gene-C12orf40	101748677	68159	NA
gene-LOC107051632	107051632	74640	NA
gene-ABCD2	417694	5397	NA
gene-LOC107051634	107051634	74642	NA
gene-LOC107051635	107051635	74643	NA
gene-KIF21A	417692	5359	NA
gene-SIIL	417691	50572	NA
gene-CPNE8	417690	5301	NA
gene-ALG10	426734	66508	NA
gene-TPRKB	425906	9850	NA
gene-LOC100859509	100859509	63633	NA
gene-GTSE1	425204	52379	NA
gene-TRMU	425909	52612	NA
gene-CELSR1	426068	10080	NA
gene-HIST1H2B5L	429558	53700	NA
gene-GRAMD4	425953	52622	NA
gene-LOC107051636	107051636	74644	NA
gene-CERK	425523	13852	NA
gene-TBC1D22A	428128	53277	NA
gene-LOC107051637	107051637	74645	NA
gene-FAM19A5	768638	27626	NA
gene-LOC107051638	107051638	74646	NA
gene-LOC112533144	112533144	NA	NA
gene-LOC107051639	107051639	74647	NA
gene-LOC107049439	107049439	72458	NA
gene-BRD1	417731	6468	NA
gene-ZBED4	417734	6484	NA
gene-ALG12	417733	50582	NA
gene-CRELD2	417735	6488	NA
gene-LOC112533146	112533146	NA	NA
gene-LOC112533145	112533145	NA	NA
gene-LOC112533147	112533147	NA	NA
gene-LOC101748137	101748137	67628	NA
gene-PIM3	768655	54641	NA
gene-LOC112533148	112533148	NA	NA
gene-LOC107050165	107050165	73180	NA
gene-LOC107050376	107050376	73390	NA
gene-LOC112533150	112533150	NA	NA
gene-LOC112533149	112533149	NA	NA
gene-LOC101748415	101748415	67901	NA
gene-LOC107050120	107050120	73135	NA
gene-LOC101748454	101748454	67937	NA
gene-LOC112533151	112533151	NA	NA
gene-LOC112533152	112533152	NA	NA
gene-IL17REL	769256	55112	NA
gene-MLC1	417737	6495	NA
gene-MOV10L1	417738	50583	NA
gene-LOC107049700	107049700	72716	NA
gene-LOC112533153	112533153	NA	NA
gene-PANX2	426934	2	NA
gene-LOC429348	429348	53630	NA
gene-TRABD	417746	6609	NA
gene-LOC112533154	112533154	NA	NA
gene-SELENOO	417745	50587	NA
gene-TUBGCP6	769701	55462	NA
gene-HDAC10	417742	50586	NA
gene-LOC417741	417741	50585	NA
gene-MAPK12	769763	13849	NA
gene-MAPK11	417739	6538	NA
gene-PLXNB2	425938	52617	NA
gene-LOC107051595	107051595	74603	NA
gene-MIR1693	100315787	60647	MI0007428
gene-ZNF800	417747	6614	NA
gene-GRM8	427853	13848	NA
gene-POT1	404538	6635	NA
gene-GPR37	417748	66294	NA
gene-LOC112533160	112533160	NA	NA
gene-ARL8BL	769134	55011	NA
gene-SPAM1	417749	6652	NA
gene-HYAL4P	770096	6661	NA
gene-HYAL6	105667218	72001	NA
gene-LOC107052593	107052593	75596	NA
gene-WASL	417750	6677	NA
gene-LMOD2	417751	6682	NA
gene-ASB15	417752	6690	NA
gene-NDUFA5	417753	50588	NA
gene-IQUB	417754	6698	NA
gene-ATP6AP1	427854	6706	NA
gene-LOC107052612	107052612	75615	NA
gene-SLC13A1	770198	6739	NA
gene-CADPS2	417756	6777	NA
gene-FEZF1	100859279	66089	NA
gene-LOC112533174	112533174	NA	NA
gene-AASS	417757	6801	NA
gene-PTPRZ1	396403	6807	NA
gene-FAM3C	417758	50590	NA
gene-WNT16	427856	66539	NA
gene-CPED1	417761	50593	NA
gene-MIR1645	100316010	60869	MI0007377
gene-ING3	417762	6859	NA
gene-TSPAN12	417763	6864	NA
gene-KCND2	374143	49061	NA
gene-LOC100859665	100859665	63482	NA
gene-LOC112533180	112533180	NA	NA
gene-ANKRD26	417764	50594	NA
gene-LSM8	417765	6932	NA
gene-LOC112533181	112533181	NA	NA
gene-CTTNBP2	417766	6951	NA
gene-CFTR	100049619	7086	NA
gene-ASZ1	417768	66295	NA
gene-WNT2	417769	66296	NA
gene-ST7	417770	50595	NA
gene-LOC101747342	101747342	66845	NA
gene-CAPZA2	417771	7136	NA
gene-MET	396134	7139	NA
gene-LOC112533184	112533184	NA	NA
gene-CAV1	373996	7141	NA
gene-CAV2	417772	7144	NA
gene-TES	395332	7146	NA
gene-TFEC	417773	7156	NA
gene-LOC107052646	107052646	75649	NA
gene-LOC112533188	112533188	NA	NA
gene-MDFIC	417774	33132	NA
gene-FOXP2	769935	7164	NA
gene-LOC112533189	112533189	NA	NA
gene-LOC107052882	107052882	75881	NA
gene-PPP1R3A	101747406	66909	NA
gene-LOC107052650	107052650	75653	NA
gene-GPR85	417775	7176	NA
gene-LOC107052654	107052654	75657	NA
gene-MIR1695	100315920	60780	MI0007430
gene-LOC107052656	107052656	75659	NA
gene-BMT2	417776	50596	NA
gene-TMEM168	417777	7180	NA
gene-LOC101747665	101747665	67161	NA
gene-LOC107052883	107052883	75882	NA
gene-LSMEM1	417778	7183	NA
gene-IFRD1	395226	7184	NA
gene-LOC112533197	112533197	NA	NA
gene-ZNF277	427859	7189	NA
gene-DOCK4	417779	7209	NA
gene-IMMP2L	417780	7214	NA
gene-LRRN3	770169	7217	NA
gene-DNAJB9	417783	7220	NA
gene-THAP5	417784	50597	NA
gene-AVPR2	427860	7225	NA
gene-PNPLA8	417785	7233	NA
gene-NRCAM	396202	49697	NA
gene-LOC112533215	112533215	NA	NA
gene-CNTN1	417786	7248	NA
gene-LOC112533217	112533217	NA	NA
gene-PDZRN4	417787	7253	NA
gene-GXYLT1	417789	7254	NA
gene-YAF2	417790	7261	NA
gene-ZCRB1	417791	7263	NA
gene-PPHLN1	417792	7266	NA
gene-MIR7447	102466231	71917	MI0024114
gene-PRICKLE1	417793	7274	NA
gene-ADAMTS20	417794	7287	NA
gene-LOC112533224	112533224	NA	NA
gene-PUS7L	417795	7292	NA
gene-IRAK4	417796	7297	NA
gene-TWF1	417797	7305	NA
gene-TMEM117	417798	7306	NA
gene-ARRDC5	101752017	71431	NA
gene-NELL2	417799	7309	NA
gene-PRLL	417800	50598	NA
gene-DBX2	417801	7312	NA
gene-LOC107052695	107052695	75697	NA
gene-ANO6	417802	7334	NA
gene-LOC112533246	112533246	NA	NA
gene-LOC101749362	101749362	68833	NA
gene-ARID2	417804	7350	NA
gene-LOC107052702	107052702	75704	NA
gene-SCAF11	417805	7356	NA
gene-LOC107052703	107052703	75705	NA
gene-SLC38A1	417806	7377	NA
gene-LOC107052706	107052706	75708	NA
gene-LOC101749506	101749506	68975	NA
gene-SLC38A2	417807	6444	NA
gene-LOC112531641	112531641	NA	NA
gene-LOC112533247	112533247	NA	NA
gene-LOC112533248	112533248	NA	NA
gene-SLC38A4	417809	7396	NA
gene-LOC101749586	101749586	69052	NA
gene-AMIGO2	417810	7403	NA
gene-LOC112533249	112533249	NA	NA
gene-RPAP3	417811	7406	NA
gene-ATP23	417812	7410	NA
gene-LRIG3	417813	7415	NA
gene-LOC112531642	112531642	NA	NA
gene-LOC101749839	101749839	69298	NA
gene-SLC16A7	417815	7417	NA
gene-LOC107052719	107052719	75721	NA
gene-LOC107052718	107052718	75720	NA
gene-FAM19A2	771745	13846	NA
gene-USP15	395644	49421	NA
gene-LOC101750768	101750768	70210	NA
gene-MON2	417818	7441	NA
gene-MIRLET7I	777922	59202	MI0001168
gene-PPM1H	771760	7449	NA
gene-AVPR1A	771773	7451	NA
gene-TMEM5	417820	7456	NA
gene-SRGAP1	417821	7464	NA
gene-C1H12ORF66	417822	50600	NA
gene-RPL18A	417823	50601	NA
gene-LOC112531625	112531625	NA	NA
gene-XPOT	417824	7470	NA
gene-TBK1	417825	7475	NA
gene-RASSF3	417828	7477	NA
gene-GNS	417829	7488	NA
gene-TBC1D30	417830	50603	NA
gene-WIF1	417831	7497	NA
gene-LEMD3	417832	7501	NA
gene-MSRB3	417833	13069	NA
gene-HMGA2	395851	49510	NA
gene-LLPH	771027	13845	NA
gene-TMBIM4	771874	7504	NA
gene-HELB	417836	7509	NA
gene-GRIP1	427863	7514	NA
gene-CAND1	417837	7517	NA
gene-LOC112531553	112531553	NA	NA
gene-DYRK2	427864	7519	NA
gene-LOC107052884	107052884	75883	NA
gene-IFNG	396054	7521	NA
gene-IL22	417838	7522	NA
gene-MDM1	417839	7523	NA
gene-LOC107052749	107052749	75749	NA
gene-RAP1B	417840	50604	NA
gene-NUP107	101751988	71402	NA
gene-SLC35E3	417842	7550	NA
gene-LOC101752108	101752108	71517	NA
gene-MDM2	395609	7552	NA
gene-CPM	417843	7555	NA
gene-CPSF6	417844	13843	NA
gene-LOC107052751	107052751	75751	NA
gene-LYZ	396218	7570	NA
gene-YEATS4	771226	66660	NA
gene-FRS2	417845	7573	NA
gene-CCT2	417846	7582	NA
gene-LRRC10	427865	7583	NA
gene-CTSEAL	417848	50605	NA
gene-BEST3	417849	7625	NA
gene-RAB3IP	417850	7568	NA
gene-MYRFL	100858458	64627	NA
gene-LOC100858495	100858495	64592	NA
gene-CNOT2	417851	7634	NA
gene-KCNMB4	417852	7636	NA
gene-PTPRB	417853	7640	NA
gene-PTPRR	771985	7713	NA
gene-LOC112533274	112533274	NA	NA
gene-TSPAN8	417854	7717	NA
gene-LOC101747919	101747919	67411	NA
gene-LGR5	427867	7727	NA
gene-ZFC3H1	417855	7738	NA
gene-TMEM19	417856	66297	NA
gene-RAB21	771383	7744	NA
gene-TBC1D15	417857	50606	NA
gene-TPH2	408026	7755	NA
gene-TRHDE	427868	7757	NA
gene-LOC101748307	101748307	67795	NA
gene-KCNC2	772061	7761	NA
gene-CAPS2	417859	7764	NA
gene-CCDC107	417860	14838	NA
gene-GLIPR1L	417862	50608	NA
gene-KRR1	417863	7781	NA
gene-LOC112533299	112533299	NA	NA
gene-PHLDA1	107052797	75796	NA
gene-NAP1L1	417864	50609	NA
gene-LOC107052798	107052798	75797	NA
gene-LOC107052799	107052799	75798	NA
gene-BBS10	417865	7792	NA
gene-OSBPL8	417866	7796	NA
gene-ZDHHC17	417867	7800	NA
gene-CSRP2	396128	66221	NA
gene-E2F7	417868	7809	NA
gene-LOC101749281	101749281	68753	NA
gene-NAV3	417869	7844	NA
gene-LOC107052828	107052828	75827	NA
gene-LOC101749434	101749434	68904	NA
gene-SYT1	396083	7852	NA
gene-LOC112533322	112533322	NA	NA
gene-PAWR	417870	7853	NA
gene-PPP1R12A	396020	49610	NA
gene-LOC101749704	101749704	69165	NA
gene-RPS16	417871	66298	NA
gene-OTOGL	772154	57322	NA
gene-LOC107052834	107052834	75833	NA
gene-LOC107052588	107052588	75591	NA
gene-PTPRQ	772163	29677	NA
gene-MYF6	417873	50612	NA
gene-MYF5	395633	66206	NA
gene-LIN7A	417874	8314	NA
gene-ACSS3	417875	8315	NA
gene-LOC107052846	107052846	75845	NA
gene-PPFIA2	417877	8327	NA
gene-CCDC59	417878	66299	NA
gene-METTL25	417879	8331	NA
gene-LOC112533324	112533324	NA	NA
gene-LOC112533325	112533325	NA	NA
gene-TMTC2	417880	8339	NA
gene-LOC107052885	107052885	75884	NA
gene-LOC112533327	112533327	NA	NA
gene-SLC6A15	417881	8353	NA
gene-TSPAN19	100859115	64009	NA
gene-LRRIQ1	417882	8362	NA
gene-LOC112533329	112533329	NA	NA
gene-ALX1	427871	8462	NA
gene-RASSF9	427872	8465	NA
gene-LOC112533332	112533332	NA	NA
gene-NTS	417883	66300	NA
gene-MGAT4C	427873	NA	NA
gene-LOC107052879	107052879	75878	NA
gene-C1H12orf50	417885	8474	NA
gene-C1H12orf29	417886	8481	NA
gene-CEP290	417887	8490	NA
gene-TMTC3	417888	8505	NA
gene-KITLG	396028	8510	NA
gene-LOC107052880	107052880	75879	NA
gene-LOC112533343	112533343	NA	NA
gene-DUSP6	374272	49113	NA
gene-LOC101751742	101751742	71160	NA
gene-POC1B	417889	8519	NA
gene-GALNT4	112533346	NA	NA
gene-ATP2B1	374244	49100	NA
gene-LOC112533348	112533348	NA	NA
gene-LOC100858183	100858183	64895	NA
gene-LOC107053007	107053007	76006	NA
gene-LOC107053006	107053006	76005	NA
gene-EPYC	417890	50613	NA
gene-LOC112533355	112533355	NA	NA
gene-KERA	373995	48995	NA
gene-LUM	417891	50614	NA
gene-DCN	417892	8567	NA
gene-LOC112533359	112533359	NA	NA
gene-LOC101750244	101750244	69698	NA
gene-LOC107053003	107053003	76002	NA
gene-LOC112533362	112533362	NA	NA
gene-BTG1	396295	49739	NA
gene-LOC101750282	101750282	69735	NA
gene-LOC112533369	112533369	NA	NA
gene-C12orf74	101750488	69938	NA
gene-PLEKHG7	417895	50616	NA
gene-EEA1	417896	8572	NA
gene-LOC112533370	112533370	NA	NA
gene-LOC101750670	101750670	70115	NA
gene-NUDT4	417897	8576	NA
gene-UBE2N	417898	50617	NA
gene-MRPL42	417899	8584	NA
gene-LOC107052984	107052984	75983	NA
gene-SOCS2	395219	8586	NA
gene-LOC107052933	107052933	75932	NA
gene-CRADD	417900	8588	NA
gene-LOC112533381	112533381	NA	NA
gene-LOC112533382	112533382	NA	NA
gene-LOC112533384	112533384	NA	NA
gene-TRNAM-CAU	112531647	NA	NA
gene-PLXNC1	417901	8596	NA
gene-CEP83	417904	13837	NA
gene-TMCC3	417905	8602	NA
gene-SNAPC3	768769	8604	NA
gene-NDUFA12	417907	8606	NA
gene-NR2C1	373913	8608	NA
gene-FGD6	417908	50618	NA
gene-LOC107052983	107052983	75982	NA
gene-VEZT	417911	8635	NA
gene-LOC112533391	112533391	NA	NA
gene-LOC101751743	101751743	71161	NA
gene-METAP2	417912	8650	NA
gene-USP44	417913	8664	NA
gene-NTN4	417914	8669	NA
gene-SNRPF	417916	8670	NA
gene-AMDHD1	417917	8674	NA
gene-HAL	378924	8679	NA
gene-LTA4H	417918	8686	NA
gene-TRNAD-GUC	112531658	NA	NA
gene-LOC107052954	107052954	75953	NA
gene-LOC769175	769175	55043	NA
gene-ELK3	417919	8690	NA
gene-CDK17	417920	8707	NA
gene-LOC107052950	107052950	75949	NA
gene-LOC101747627	101747627	67125	NA
gene-CFAP54	417921	50620	NA
gene-NEDD1	417922	8722	NA
gene-LOC112533392	112533392	NA	NA
gene-MIR1691	100315885	60745	MI0007425
gene-MIR135A2	777923	59203	MI0001169
gene-LOC112533393	112533393	NA	NA
gene-LOC107053845	107053845	76832	NA
gene-LOC101747799	101747799	67292	NA
gene-LOC112533395	112533395	NA	NA
gene-TRNAD-GUC-2	112531669	NA	NA
gene-TRNAD-GUC-3	112531673	NA	NA
gene-TRNAW-CCA	112531680	NA	NA
gene-TMPO	417923	50621	NA
gene-SLC25A3	417924	8748	NA
gene-LOC112531638	112531638	NA	NA
gene-IKBIP	417925	50622	NA
gene-APAF1	417926	8763	NA
gene-ANKS1B	417927	8776	NA
gene-UHRF1BP1L	417929	50623	NA
gene-ACTR6	395348	8785	NA
gene-SCYL2	417930	8793	NA
gene-SLC17A8	427877	8804	NA
gene-NR1H4	373902	8812	NA
gene-GAS2L3	417931	66301	NA
gene-ANO4	427878	8826	NA
gene-SLC5A8	417932	8840	NA
gene-UTP20	417933	8846	NA
gene-ARL1	417934	8853	NA
gene-NUP205	417935	8864	NA
gene-CNOT4	417936	8877	NA
gene-LOC107053816	107053816	76803	NA
gene-LOC107053813	107053813	76800	NA
gene-LOC417937	417937	50624	NA
gene-STRA8	417938	8909	NA
gene-WDR91	417939	8910	NA
gene-C7orf49	100857684	65349	NA
gene-TMEM140	417940	66302	NA
gene-AGBL3	769745	8913	NA
gene-PDE6H	378929	66192	NA
gene-ARHGDIB	417941	8920	NA
gene-LOC107048995	107048995	72038	NA
gene-MGP	395912	8922	NA
gene-OC3	417943	50625	NA
gene-ART4	427879	8923	NA
gene-LOC112533433	112533433	NA	NA
gene-SMCO3	769813	55552	NA
gene-WBP11	427880	53212	NA
gene-HIST1H2A3	427881	53213	NA
gene-HISTH1	427882	53214	NA
gene-HIST1H2B7	417956	50634	NA
gene-HIST1H4D	427884	53215	NA
gene-HIST1H3G	769809	66636	NA
gene-HIST1H46L2	100858049	65021	NA
gene-HISTH2A4L1	101749238	68710	NA
gene-HIST1H2B8	427886	53217	NA
gene-HIST2H3L	769852	55587	NA
gene-HIST1H46	417946	50627	NA
gene-HSTH2B7	107053803	76790	NA
gene-HIST2H4B	417950	50630	NA
gene-H2AFJ	417947	50628	NA
gene-HIST1H2BF	769973	55680	NA
gene-HIST1H110	417948	50629	NA
gene-HIST1H4B	770005	55704	NA
gene-HIST2H3D	770022	66639	NA
gene-HIST1H3A	768333	66596	NA
gene-HIST1H4I	100858319	64760	NA
gene-HIST1H103	100858354	64726	NA
gene-HIST1H2A4	404299	49875	NA
gene-HIST2H3	417953	66303	NA
gene-HIST1H2A4L1	100858459	64626	NA
gene-HIST1H46L6	770142	55804	NA
gene-HIST1H101	417954	50632	NA
gene-HIST1H2B7L2	770188	55843	NA
gene-HIST1H2A4L2	427891	53219	NA
gene-HIST1H2BO	100858607	64486	NA
gene-HIST1H111L	427892	53220	NA
gene-HIST1H2A4L3	417955	50633	NA
gene-HIST1H2B5	417957	50635	NA
gene-HIST1H3H	100858681	64415	NA
gene-LOC100857439	100857439	65581	NA
gene-HIST1H2B7L4	770267	55899	NA
gene-HIST1H2A4L4	427895	53221	NA
gene-HIST1H111R	427896	53222	NA
gene-APOLD1	769889	8939	NA
gene-DDX47	417959	50636	NA
